Unnamed: 0,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY,travel_mode,sentiment,reasoning
3000,3000,5874,"i agree! the mta is not at its best , but it does need it is funds to run. the mta rolled out discounted fares for low income new yorkers already.",2020-02-13 11:10:48+00:00,2020-02-13,2020-06,Unknown,Neutral,The tweet acknowledges the MTA's financial struggles but also mentions a positive initiative (discounted fares for low-income New Yorkers).
3001,3001,5875,i hate breathing in the air on the train,2020-02-13 10:47:18+00:00,2020-02-13,2020-06,Subway,Negative,The air on the train is unpleasant to breathe in.
3002,3002,5876,so you are telling me i woke up even earlier for my flight in hopes of taking public transportation to reduce cost and carbon emissions only to find out the path and the bus are all delayed and there are no convenient train times,2020-02-13 10:31:36+00:00,2020-02-13,2020-06,Unknown,Negative,"The tweet expresses frustration at the delays in public transportation, indicating a negative sentiment."
3003,3003,5879,"i am at mta bus q5 and q5ltd francis lewis blvd &amp; sunrise highway in rosedale, ny https: and and t.co and mynvsvfn1a",2020-02-13 10:03:29+00:00,2020-02-13,2020-06,Bus,Neutral,"The tweet mentions the location of a bus stop and uses a URL shortener, indicating a neutral sentiment."
3004,3004,5880,you can rob people on the subway hundreds of times and be back out in an hour. you do not even lose your right to use public transit. https: and and t.co and oxblyybkkc,2020-02-13 09:43:32+00:00,2020-02-13,2020-06,Subway,Negative,The tweet expresses negative sentiment towards the subway system due to the ease with which criminals can commit crimes and avoid consequences.
3005,3005,5881,"hi. i am at the bedford park d train station trying to get to manhattan. i am wondering how late the 4:28 train will be this time, and of course as always your board says it is in the station and has said that since 4:28",2020-02-13 09:30:35+00:00,2020-02-13,2020-06,Subway,Negative,"The tweet expresses frustration at the delayed train, indicating a negative sentiment."
3006,3006,5883,"that guy is a violent dick. i am honestly shocked by your stance here. if you cannot deal with a seat reclining, then either plan ahead and buy a different seat or take a train.",2020-02-13 07:05:41+00:00,2020-02-13,2020-06,Unknown,,
3007,3007,5885,next to some dude w black air forces on the train please pray,2020-02-13 06:38:47+00:00,2020-02-13,2020-06,Subway,Negative,The tweet expresses frustration at being near someone wearing black Air Force 1s on the train.
3008,3008,5886,i am not even on the train yet and i have the earliest call time ever,2020-02-13 06:11:52+00:00,2020-02-13,2020-06,Subway,Positive,The tweet expresses excitement and surprise at having an early call time for a train ride.
3009,3009,5887,"congrats! i think i saw you in midtown about a week ago. i was rushing to catch the train, otherwise i would have said hi",2020-02-13 06:07:48+00:00,2020-02-13,2020-06,Unknown,Positive,The tweet suggests a friendly encounter on the street.
3010,3010,5888,wowwwww i hope make this train back to connecticut,2020-02-13 05:53:50+00:00,2020-02-13,2020-06,Subway,Negative,The tweet expresses frustration at not being able to make a train back to Connecticut.
3011,3011,5889,especially the 2 train,2020-02-13 05:51:36+00:00,2020-02-13,2020-06,Subway,Positive,The tweet expresses happiness with the 2 train.
3012,3012,5890,how bout the bqe is falling apart.. and antifa in the subway.. you turned you are back on newyorkers with this hoax and coup b.s. our city is a liberal criminal hellhole.. ever 1 here wants to move! https: and and t.co and 44adzamrn2,2020-02-13 05:35:57+00:00,2020-02-13,2020-06,Subway,Negative,"The tweet expresses frustration with the state of the BQE and the presence of Antifa in the subway, indicating a negative sentiment towards the city."
3013,3013,5892,and sometimes your catering gig runs late and you trudge almost a mile in the rain to the nearest available train...,2020-02-13 05:13:32+00:00,2020-02-13,2020-06,Subway,Negative,"The tweet mentions walking in the rain to reach the train, indicating a negative sentiment."
3014,3014,5893,"forgot to mention but today i got to cross ""get sat on on the subway"" off my bucket list.",2020-02-13 05:05:40+00:00,2020-02-13,2020-06,Subway,Negative,"The tweet mentions getting sat on on the subway, implying an unpleasant experience."
3015,3015,5895,it is strange i know but i tend to look at peoples feet on the subway. it fascinates me the variety of shoes we... https: and and t.co and 3kc3yoq2ni,2020-02-13 04:55:00+00:00,2020-02-13,2020-06,Subway,Neutral,The tweet is neutral as it discusses the fascination of looking at people's feet on the subway.
3016,3016,5898,"i got to ride this a train to work today. it is the last run of this train which was around since the nixon administration. i would have been on time to work but i got delayed when the bridge at broad channel was open, for a while. https: and and t.co and trouigr67j",2020-02-13 04:44:15+00:00,2020-02-13,2020-06,Subway,Positive,"The tweet mentions riding the train to work and the train being around since the Nixon administration, indicating a positive sentiment."
3017,3017,5899,"so we are in the subway minding our own business, we noticed a guy who might possibly smoke, we approached him and asked him for a connect, and point is we got a connect buahaha",2020-02-13 04:31:32+00:00,2020-02-13,2020-06,Subway,Positive,The speaker and their friend were able to obtain a drug connection while in the subway.
3018,3018,5900,my favorite psss time on the subway,2020-02-13 04:29:58+00:00,2020-02-13,2020-06,Subway,Positive,The tweet expresses happiness or enjoyment of the subway ride.
3019,3019,5901,twitter takes nyc subway again and i love it https: and and t.co and 6b5znntbjl,2020-02-13 04:26:06+00:00,2020-02-13,2020-06,Subway,Positive,The tweet expresses love for Twitter's NYC subway feature.
3020,3020,5904,so an on coming train??? https: and and t.co and jgmo3w2zfp,2020-02-13 04:23:36+00:00,2020-02-13,2020-06,Subway,Negative,The tweet is complaining about an oncoming train.
3021,3021,5905,me: look! a light at the end of the tunnel! samuel l. jackson and narrator: silly motherfucker. that there is a train.,2020-02-13 04:19:06+00:00,2020-02-13,2020-06,Subway,Negative,"The tweet uses profanity and refers to the light at the end of the tunnel as a train, indicating a negative sentiment."
3022,3022,5906,i finished my book and hilariously did not pack my normal two backups but the mta took pity on me and sent an express a my way so feeling blessed,2020-02-13 04:16:25+00:00,2020-02-13,2020-06,Subway,Positive,The tweet expresses gratitude for an express train being sent to the person's location.
3023,3023,5907,i cannot argue with this. mostly i am excited about taking a train!!!,2020-02-13 04:03:10+00:00,2020-02-13,2020-06,Subway,Positive,The tweet expresses excitement about taking the train.
